headline,clickbait_score,feature_emotional_words,feature_clickbait_phrases,feature_number_patterns,feature_question_marks,feature_exclamation_marks,feature_all_caps_words,feature_personal_pronouns,feature_starts_number,feature_ellipsis,feature_sentiment_intensity
Bill Murray's former home in swanky star-studded enclave hits the market,0.0,0,0,0,0,0,0,0,0,0,0.0
"Michigan, Michigan State players brawl after game: 'Lil’ bro stay doing lil’ bro things'",0.8,0,0,0,0,0,0,0,0,0,0.4
Zach Bryan backlash over breakup is latest controversy after arrest,0.45,0,0,0,0,0,0,0,0,0,0.225
Trump campaign rips Harris for misleading supporters with Beyoncé: ‘Lied to build crowd’,0.0,0,0,0,0,0,0,0,0,0,0.0
Prince William publicly mentions Prince Harry for first time in recent memory,0.16666666666666666,0,0,0,0,0,0,0,0,0,0.08333333333333333
"After strikes, Israel warns Iran what will happen if it escalates conflict again",2.0,1,0,0,0,0,0,0,0,0,0.0
Child-abusing mommy blogger's daughter warns about posting kids' pictures online,2.0,1,0,0,0,0,0,0,0,0,0.0
Lizzo makes a point with Halloween costume after denying taking weight loss drug,0.0,0,0,0,0,0,0,0,0,0,0.0
"Mahomes is already ‘No. 2 in the GOAT conversation,’ former NFL star says",0.0,0,0,0,0,0,0,0,0,0,0.0
Livvy Dunne reflects on watching Simone Biles in person at Olympics,0.0,0,0,0,0,0,0,0,0,0,0.0
Fox News brings Democracy 2024 to the sky with CGI!,1.5,0,0,0,0,1,0,0,0,0,0.0
"ANTISEMITISM EXPOSED:Truck ramming attack near Israeli army base leaves 1 dead, dozens injured",2.6,1,0,0,0,0,0,0,0,0,0.30000000000000004
FOX Nation Patriot Awards moves to New York with tickets now on sale,2.2727272727272725,1,0,0,0,0,0,0,0,0,0.13636363636363635
Another tropical storm could develop in Caribbean Sea after Halloween,0.0,0,0,0,0,0,0,0,0,0,0.0
"Meet the American who invented the hard hat, a symbol of our nation's working class",1.7916666666666667,0,0,0,0,0,0,1,0,0,0.14583333333333334
"On this day in history, Teddy Roosevelt is born in New York City",0.2727272727272727,0,0,0,0,0,0,0,0,0,0.13636363636363635
Shaq’s comments to Angel Reese about her tiny shorts has internet talking,0.0,0,0,0,0,0,0,0,0,0,0.0
Facial recognition glasses turn everyday life into creepy privacy nightmare,4.466666666666667,2,0,0,0,0,0,0,0,0,0.2333333333333333
"KITCHEN CABINET:Delicious recipes, surprising power foods & juicy secrets to eating better",6.7,2,0,1,0,0,0,0,0,0,0.6
"VACATION MODE:Discover your next getaway, travel hacks & expert recommendations",1.5,0,0,0,0,0,0,1,0,0,0.0
"PICTURE OF HEALTH:Doctors on call for you, tips to staying fit & key warning signs",7.4,2,0,1,0,0,0,1,0,0,0.2
FUN FACTS:Bees can fly higher than Mount Everest,4.4,1,0,1,0,0,0,0,0,0,0.45
Fox Nation,0.0,0,0,0,0,0,0,0,0,0,0.0
Features & Faces,0.0,0,0,0,0,0,0,0,0,0,0.0
Strength in Numbers: Reno Community Unites In Support of Nevada Women's Volleyball | Alejandro Avila,0.0,0,0,0,0,0,0,0,0,0,0.0
Donald Trump Makes Stunning UFO Claim During Joe Rogan Interview: WATCH,1.0,0,0,0,0,0,0,0,0,0,0.5
"Skyler Simpson Is A Cowboys Cheerleader For Halloween, Xandra Pohl Enjoys Fall In Miami & The Grills Are Hot",0.5,0,0,0,0,0,0,0,0,0,0.25
Transgender Golfer Hailey Davidson Fails To Earn LPGA Card But Does Earn Status On Women's Epson Tour,1.0,0,0,0,0,0,0,0,0,0,0.5
Houston residents react to Kamala Harris' visit to Texas alongside Beyoncé days before Election Day,0.0,0,0,0,0,0,0,0,0,0,0.0
Nevada voters reveal their prediction for which presidential candidate will win 'very close race',1.0,0,0,0,0,0,0,0,0,0,0.5
Ex-Aurora resident and forever Dem forced to flee gang violence says she's voting Republican going forward,4.6,2,0,0,0,0,0,0,0,0,0.30000000000000004
'She hasn't done anything': Nevada voters frustrated with Biden-Harris border policy as election looms,1.4,0,0,0,0,0,0,0,0,0,0.7
Philly's firefighters union backs Bob Casey's rival in Senate race,2.0,1,0,0,0,0,0,0,0,0,0.0
Harris' polling in NYC is lowest in decades for Democratic nominee: NYT poll,0.0,0,0,0,0,0,0,0,0,0,0.0
What is landlord insurance? How coverage could play into a squatter situation,1.0,0,0,0,1,0,0,0,0,0,0.0
"On this day in history, October 26, 1825, Erie Canal opens, transforming American infrastructure, commerce",0.0,0,0,0,0,0,0,0,0,0,0.0
Young voter turned off by Harris' 'pandering': Seems like abortion is 'only thing I'm allowed to care about',0.1,0,0,0,0,0,0,0,0,0,0.05
"Trump on track for 'narrow landslide' victory, Kellyanne Conway predicts",0.4,0,0,0,0,0,0,0,0,0,0.2
SEAN HANNITY: Democrats have failed Americans,1.0,0,0,0,0,0,0,0,0,0,0.5
Voters at Atlanta barbershop not sold on VP Harris' economic pitch: 'I don't need a handout',0.4,0,0,0,0,0,0,0,0,0,0.2
"Ex-Vatican ambassador, Pope Francis critic calls Harris 'infernal monster'",0.0,0,0,0,0,0,0,0,0,0,0.0
My father was Sen. Joe Lieberman. His last words are what we need to hear right now,1.7857142857142856,0,0,0,0,0,0,1,0,0,0.14285714285714285
Dems need to ramp up early voting efforts to match GOP momentum in North Carolina: analyst,0.2,0,0,0,0,0,0,0,0,0,0.1
"Presidential election is making most Americans anxious, surveys say: Here are 6 tips to calm down",1.6972222222222222,0,0,1,0,0,0,0,0,0,0.09861111111111112
New anti-theft features rolling out on Android 15,0.2727272727272727,0,0,0,0,0,0,0,0,0,0.13636363636363635
Why you should be using a VPN to safeguard your stock trading activities,3.0,0,0,0,0,0,0,2,0,0,0.0
VIDEO: Texas machete-wielding man's intrusion into home thwarted by gun owner,2.0,1,0,0,0,0,0,0,0,0,0.0
Facial recognition glasses turn everyday life into creepy privacy nightmare,4.466666666666667,2,0,0,0,0,0,0,0,0,0.2333333333333333
"Truck ramming attack near Israeli army base leaves 1 dead, dozens injured; suspect killed",0.55,0,0,0,0,0,0,0,0,0,0.275
"Fraudsters wheel away huge haul of artisan cheddar worth an eye-popping $400,000",0.7,0,0,0,0,0,0,0,0,0,0.35
"Israel’s 'Days of Repentance' strikes against Iran will continue if terror regime responds, IDF warns",2.0,1,0,0,0,0,0,0,0,0,0.0
UN secretary-general won’t condemn official accused of antisemitism; US said to grant visa for visit,4.0,2,0,0,0,0,0,0,0,0,0.0
Doug Emhoff 'reshaped the perception of masculinity'? Let's consult the Torah,1.0,0,0,0,1,0,0,0,0,0,0.0
My father was Sen. Joe Lieberman. His last words are what we need to hear right now,1.7857142857142856,0,0,0,0,0,0,1,0,0,0.14285714285714285
JONATHAN TURLEY: Why I'm congratulating the Washington Post,0.0,0,0,0,0,0,0,0,0,0,0.0
Trump isn’t the first president menaced by Derangement Syndrome,0.5,0,0,0,0,0,0,0,0,0,0.25
"Presidential election is making most Americans anxious, surveys say: Here are 6 tips to calm down",1.6972222222222222,0,0,1,0,0,0,0,0,0,0.09861111111111112
‘Should I go to the ER or urgent care?’: Ask a doctor,3.0,1,0,0,1,0,0,0,0,0,0.0
"Dementia risk could be higher for older adults who experience this type of injury, study finds",0.41666666666666663,0,0,0,0,0,0,0,0,0,0.20833333333333331
"After a breast cancer diagnosis, here are 10 important things you should do, experts say",3.8,0,0,1,0,0,0,1,0,0,0.4
Child-abusing mommy blogger Ruby Franke's daughter warns parents about posting kids' pictures online,2.0,1,0,0,0,0,0,0,0,0,0.0
Perez Hilton predicts Menendez brothers could see public ‘turn’ on them after prison release,0.0,0,0,0,0,0,0,0,0,0,0.0
"Fraudsters wheel away huge haul of artisan cheddar worth an eye-popping $400,000",0.7,0,0,0,0,0,0,0,0,0,0.35
Search underway for man accused of killing his pregnant wife while on parole for murder,2.6666666666666665,1,0,0,0,0,0,0,0,0,0.3333333333333333
"'I'm an author and I'm grateful for democracy, including our First Amendment rights'",2.0,0,0,0,0,0,0,1,0,0,0.25
Visiting the Constitution can remind us that America is all about 'We the People',1.5,0,0,0,0,0,0,1,0,0,0.0
"Health, happiness and helping others are vital parts of free and responsible society, Founding Fathers taught",0.7,0,0,0,0,0,0,0,0,0,0.35
"Meet the American who defined a new national identity, Noah Webster, New England patriot armed with the pen",0.1818181818181818,0,0,0,0,0,0,0,0,0,0.0909090909090909
"On this day in history, October 27, 1858, Teddy Roosevelt, American titan, is born in New York City",0.13636363636363635,0,0,0,0,0,0,0,0,0,0.06818181818181818
Ex-Trump officials tell Americans to 'heed General Kelly's warning' Trump's a fascist,4.1,2,0,0,0,0,0,0,0,0,0.05000000000000002
Pentagon denies false claim that Biden-Harris admin authorized troops to use force against Americans,0.8000000000000002,0,0,0,0,0,0,0,0,0,0.4000000000000001
"On this day in history, October 25, 1944, first kamikaze suicide pilots attack US Navy in World War II",2.5,1,0,0,0,0,0,0,0,0,0.25
Luke Combs and Eric Church raise over $24.5 million for hurricane victims at star-studded Concert for Carolina,0.0,0,0,0,0,0,0,0,0,0,0.0
Prince William publicly mentions Prince Harry for first time in recent memory while discussing childhood,0.16666666666666666,0,0,0,0,0,0,0,0,0,0.08333333333333333
"Zach Bryan backlash over breakup is latest controversy after arrest, drunken Taylor Swift comment",0.45,0,0,0,0,0,0,0,0,0,0.225
Beatle Paul McCartney helped John Lennon win back Yoko Ono after star cheated with another woman: pal,0.8,0,0,0,0,0,0,0,0,0,0.4
Texas A&M's Mike Elko has fiery message after major win: 'It’s not a politician running this program',0.8625,0,0,0,0,0,0,0,0,0,0.43125
Spurs' Gregg Popovich rails against Trump in lengthy rant: 'Danger follows the delusion',2.0,1,0,0,0,0,0,0,0,0,0.0
"Patrick Mahomes is already ‘No. 2 in the GOAT conversation,’ ex-NFL star says",0.0,0,0,0,0,0,0,0,0,0,0.0
"Michigan, Michigan State players brawl after game: 'Lil’ bro stay doing lil’ bro things'",0.8,0,0,0,0,0,0,0,0,0,0.4
"Hurricane Helene: More than 90 reported dead in North Carolina, 10 unaccounted for",0.3,0,0,0,0,0,0,0,0,0,0.15
Child-abusing mommy blogger Ruby Franke's daughter warns parents about posting kids' pictures online,2.0,1,0,0,0,0,0,0,0,0,0.0
Perez Hilton predicts Menendez brothers could see public ‘turn’ on them after prison release,0.0,0,0,0,0,0,0,0,0,0,0.0
Florida deputies arrest dozens of illegal immigrants allegedly caught looting from Hurricane Milton victims,0.43333333333333335,0,0,0,0,0,0,0,0,0,0.21666666666666667
"'Stay Married Chicken,' indulgent and delicious, has 'definitely worked,' says family-minded creator",0.325,0,0,0,0,0,0,0,0,0,0.1625
Restaurant visitors instructed on strict behavior by 21 signs: 'Rules are rules',1.5,0,0,1,0,0,0,0,0,0,0.0
Matthew McConaughey always planned to ditch Hollywood for Texas,2.0,1,0,0,0,0,0,0,0,0,0.0
DC gears up for presidential inauguration as tourism industry braces for surge in visitors,0.0,0,0,0,0,0,0,0,0,0,0.0
Why some Americans will receive an extra Social Security check in November,0.03333333333333333,0,0,0,0,0,0,0,0,0,0.016666666666666666
Mysterious $7B estate tax payment spurs questions about source of funds,2.0,1,0,0,0,0,0,0,0,0,0.0
Harvard fundraising slumps after antisemitism controversy,0.0,0,0,0,0,0,0,0,0,0,0.0
"Biden administration forgives $4.5 million in student debt for 60,000 borrowers",0.0,0,0,0,0,0,0,0,0,0,0.0
When a Facebook friend request turns into a hacker’s trap,0.0,0,0,0,0,0,0,0,0,0,0.0
New anti-theft features rolling out on Android 15,0.2727272727272727,0,0,0,0,0,0,0,0,0,0.13636363636363635
Fox News AI Newsletter: Bureaucrats ordered to use AI,0.0,0,0,0,0,0,0,0,0,0,0.0
Why you should be using a VPN to safeguard your stock trading activities,3.0,0,0,0,0,0,0,2,0,0,0.0
'Conclave' director says controversial scenes in movie about papal elections 'not a takedown of the church',3.1,1,0,0,0,0,0,0,0,0,0.55
Helen Mirren says Kurt Cobain's death is 'so sad' because he 'never saw GPS',5.0,2,0,0,0,0,0,0,0,0,0.5
"Nicole Kidman, Cher, Kim Kardashian turn heads in figure-hugging gowns: PHOTOS",0.0,0,0,0,0,0,0,0,0,0,0.0
Liam Neeson confesses he’s ‘madly in love’ with co-star Pamela Anderson,1.0,0,0,0,0,0,0,0,0,0,0.5
"Costco issues recall notices for frozen waffles, freeze dried meat over listeria concerns",0.4,0,0,0,0,0,0,0,0,0,0.2
Palatial California billionaire-owned estate hits market for whopping $108M,0.0,0,0,0,0,0,0,0,0,0,0.0
Bill Murray's former New York home in swanky star-studded enclave hits the market for $3.69 million,0.13636363636363635,0,0,0,0,0,0,0,0,0,0.06818181818181818
Union autoworker predicts blue voting bloc will vote for Trump in 'big numbers': 'He's speaking our language',1.5,0,0,0,0,0,0,1,0,0,0.0
"Faith leader wants Christians to 'love their Bibles': It is 'true and trustworthy,' he says",0.6999999999999998,0,0,0,0,0,0,0,0,0,0.3499999999999999
My father was Sen. Joe Lieberman. His last words are what we need to hear right now,1.7857142857142856,0,0,0,0,0,0,1,0,0,0.14285714285714285
Bay Area city pays $1.5 million after years-long fight to take down cross,2.1555555555555554,1,0,0,0,0,0,0,0,0,0.07777777777777778
Fox News ‘Antisemitism Exposed’ Newsletter: Israel-US relations crippled by damaging leak,2.0,1,0,0,0,0,0,0,0,0,0.0
3 ways Kamala Harris promotes chaos with her energy message,3.5,1,0,0,0,0,0,0,1,0,0.0
"Chicago eliminates migrant-only shelters, 'landing zone'",0.0,0,0,0,0,0,0,0,0,0,0.0
"What Michael Jordan is like as a NASCAR boss, according to his star driver",0.0,0,0,0,0,0,0,0,0,0,0.0
You won't believe how far Volvo's new electric semitruck goes on a single charge,4.10995670995671,0,1,0,0,0,0,1,0,0,0.05497835497835498
The four 'dreaded' letters on airline boarding passes that travelers say they never want to see,4.0,2,0,0,0,0,0,0,0,0,0.0
"On this day in history, October 27, 1858, Teddy Roosevelt, American titan, is born in New York City",0.13636363636363635,0,0,0,0,0,0,0,0,0,0.06818181818181818
What is landlord insurance? How coverage could play into a squatter situation,1.0,0,0,0,1,0,0,0,0,0,0.0
American Airlines cracks down against 'gate lice' as airport passengers skip lines amid boarding process,0.15555555555555556,0,0,0,0,0,0,0,0,0,0.07777777777777778
Luke Combs and Eric Church raise over $24.5 million for hurricane victims at star-studded Concert for Carolina,0.0,0,0,0,0,0,0,0,0,0,0.0
"Zach Bryan backlash over breakup is latest controversy after arrest, drunken Taylor Swift comment",0.45,0,0,0,0,0,0,0,0,0,0.225
Beatle Paul McCartney helped John Lennon win back Yoko Ono after star cheated with another woman: pal,0.8,0,0,0,0,0,0,0,0,0,0.4
Lizzo wears Ozempic-themed Halloween costume inspired by 'South Park' parody after slamming allegations,0.0,0,0,0,0,0,0,0,0,0,0.0
"'Stay Married Chicken,' indulgent and delicious, has 'definitely worked,' says family-minded creator",0.325,0,0,0,0,0,0,0,0,0,0.1625
5 peculiar pizza toppings that are common around the world,3.6,0,0,1,0,0,0,0,1,0,0.3
Jimmy John's announces 'Picklewich' — here's how people responded,0.0,0,0,0,0,0,0,0,0,0,0.0
Ghost in a restaurant? Man says coffee shop haunted by Civil War soldier,3.0,1,0,0,1,0,0,0,0,0,0.0
Another tropical storm could develop in Caribbean Sea after Halloween as hurricane season nears final month,0.0,0,0,0,0,0,0,0,0,0,0.0
Northeast wildfire threat shifts to New England on Sunday,2.2727272727272725,1,0,0,0,0,0,0,0,0,0.13636363636363635
Beloved 'Rainbow Bridge' honoring lost pets in North Carolina washed away by Helene,1.4,0,0,0,0,0,0,0,0,0,0.7
Volcanic ash from Mexican volcano spotted over Florida,0.0,0,0,0,0,0,0,0,0,0,0.0
"One Nation with Brian Kilmeade - Saturday, October 26",0.0,0,0,0,0,0,0,0,0,0,0.0
"Life, Liberty & Levin - Saturday, October 26",0.0,0,0,0,0,0,0,0,0,0,0.0
"The Big Weekend Show - Saturday, October 26",0.0,0,0,0,0,0,0,0,0,0,0.0
"The Journal Editorial Report - Saturday, October 26",0.0,0,0,0,0,0,0,0,0,0,0.0
Search underway for man accused of killing his pregnant wife while on parole for murder,2.6666666666666665,1,0,0,0,0,0,0,0,0,0.3333333333333333
At least 126 dead and missing in massive flooding and landslides in Philippines,0.35,0,0,0,0,0,0,0,0,0,0.175
"A man who abused up to 3,500 girls online has been sentenced for crimes including manslaughter",0.0,0,0,0,0,0,0,0,0,0,0.0
More than 40 dogs killed in fire at rescue group’s kennels in New York,0.2909090909090909,0,0,0,0,0,0,0,0,0,0.14545454545454545
Michelle Obama accuses critics of 'picking apart' Harris' interview answers to distract from Trump's faults,0.0,0,0,0,0,0,0,0,0,0,0.0
Trump-Vance ticket has done combined 96 interviews since August compared to 57 for Harris-Walz,0.0,0,0,0,0,0,0,0,0,0,0.0
98 days: Kamala Harris has yet to do formal press conference since emerging as Democratic nominee,1.5,0,0,0,0,0,0,0,1,0,0.0
'Conclave' director says controversial scenes in movie about papal elections 'not a takedown of the church',3.1,1,0,0,0,0,0,0,0,0,0.55
UN secretary-general won’t condemn official accused of antisemitism; US said to grant visa for visit,4.0,2,0,0,0,0,0,0,0,0,0.0
Israeli woman bravely describes horror as Hamas hostage: 'They were taking pleasure in hurting me',1.6,0,0,0,0,0,0,0,0,0,0.8
"Anti-Israel protesters take over University of Minnesota admin building, 11 arrested",0.0,0,0,0,0,0,0,0,0,0,0.0
Jewish-American group urges US citizens in Israel to vote as absentee ballots can impact swing states,0.0,0,0,0,0,0,0,0,0,0,0.0
Florida deputies arrest dozens of illegal immigrants allegedly caught looting from Hurricane Milton victims,0.43333333333333335,0,0,0,0,0,0,0,0,0,0.21666666666666667
Harris' polling in NYC is lowest in decades for Democratic nominee: NYT poll,0.0,0,0,0,0,0,0,0,0,0,0.0
VICTOR DAVIS HANSON: 10 alarming signs we are in the middle of a cultural revolution,1.5,0,0,0,0,0,0,1,0,0,0.0
Texas Gov. Greg Abbott challenges Kamala Harris to declare Tren de Aragua a terrorist organization,0.0,0,0,0,0,0,0,0,0,0,0.0
"Lisa Bevere: Fighting for Women’s Divine Right, Calling Out the Evil of Gender Ideology",4.714285714285714,2,0,0,0,0,0,0,0,0,0.35714285714285715
From Washington: The Battle For Control Of The House,2.0,1,0,0,0,0,0,0,0,0,0.0
Fox Sports Update – Yankees Kept From Bombing,0.0,0,0,0,0,0,0,0,0,0,0.0
Extra: Is The American Dream Dead? Mr. Wonderful Weighs In.,3.4,1,0,0,1,0,0,0,0,0,0.2
