word,neg,neu,pos,compound
More straight couples are calling each other partner. Here’s why,0.0,0.804,0.196,0.2944
"How long can you stand like a flamingo? The answer may reflect your age, new study says",0.0,0.857,0.143,0.3612
What experts say about taking psilocybin as an alternative treatment for depression,0.252,0.748,0.0,-0.5719
5 ways to support your friends with cancer,0.31,0.282,0.408,0.1027
Does your teen consume protein supplements? Here’s what experts say,0.0,1.0,0.0,0.0
X changed its terms of service to let its AI train on everyone’s posts. Now users are up in arms,0.0,1.0,0.0,0.0
Elon Musk says he’ll fix the government under Trump. His track record paints a different picture,0.0,1.0,0.0,0.0
Meta fires employees for spending food allowances on personal items like acne pads and wine glasses,0.0,0.857,0.143,0.3612
Swiping right ahead of the election: Popular dating apps have new features to show off political views,0.0,0.851,0.149,0.4215
Mind-bending mirrors have appeared in the desert,0.0,1.0,0.0,0.0
Lions prowl South Africa’s ‘wildest golf course’,0.0,1.0,0.0,0.0
Inside Qatar’s ‘city of the future’,0.0,1.0,0.0,0.0
These colorful artworks are made from folded paper,0.0,1.0,0.0,0.0
Inside Michael Jordan’s slice of paradise,0.0,0.543,0.457,0.6369
Wildlife photographer’s award-winning images,0.0,1.0,0.0,0.0
"The rape claims that tie the Menendez case to Menudo: ‘There might be other victims,’ doc producer says",0.217,0.783,0.0,-0.6908
"Military investigation into incident during Trump’s controversial Arlington Cemetery still ongoing, Army report says",0.122,0.878,0.0,-0.2023
"Two $140,000 tickets for 12-minute space trip sell immediately",0.0,1.0,0.0,0.0
Kate Bush is ‘very keen’ to make a new album,0.0,1.0,0.0,0.0
"Hillary Clinton says Trump is ‘more unhinged, more unstable’ than in 2016",0.0,1.0,0.0,0.0
Former CEO of WWE sued for allegedly enabling sexual abuse,0.318,0.682,0.0,-0.6369
Miami Dolphins quarterback cleared to return and will play against Arizona Cardinals,0.0,0.725,0.275,0.4215
"Tom Holland and Zendaya have read a ‘Spider-Man 4’ script, and the movie comes out in 2026",0.0,1.0,0.0,0.0
Nicole Scherzinger ‘will forever cherish and treasure the time’ with Liam Payne,0.0,0.676,0.324,0.5859
World’s best bars for 2024,0.0,0.488,0.512,0.6369
