headline,clickbait_score,feature_emotional_words,feature_clickbait_phrases,feature_number_patterns,feature_question_marks,feature_exclamation_marks,feature_all_caps_words,feature_personal_pronouns,feature_starts_number,feature_ellipsis,feature_sentiment_intensity
Criminals are looting millions from ATMs in Europe. Here’s why Germany is a prime target,0.0,0,0,0,0,0,0,0,0,0,0.0
Airline cracks down on ‘gate lice’ who skip the line,0.3111111111111111,0,0,0,0,0,0,0,0,0,0.15555555555555556
Witches walk among us. They’re not like the fictional ones you grew up with,1.5,0,0,0,0,0,0,1,0,0,0.0
Oldest person in the US dies at 115. This was her secret to longevity,2.8,1,0,0,0,0,0,0,0,0,0.4
Georgia’s pro-EU opposition cries foul as ruling party claims election victory,0.0,0,0,0,0,0,0,0,0,0,0.0
Britain is skirting the sidelines of the US election - but the ‘Special Relationship’ is getting complicated,0.14285714285714285,0,0,0,0,0,0,0,0,0,0.07142857142857142
Iceland embraced a shorter work week. Here’s how it turned out,0.0,0,0,0,0,0,0,0,0,0,0.0
Woman who zipped boyfriend in suitcase until he died found guilty of second-degree murder,1.0,0,0,0,0,0,0,0,0,0,0.5
Japan’s new PM faces major test with an election just weeks after taking office,0.19886363636363635,0,0,0,0,0,0,0,0,0,0.09943181818181818
Hear what Trump told Joe Rogan his plans are for RFK Jr.,0.0,0,0,0,0,0,0,0,0,0,0.0
Scientists say skeletal remains found in castle well belong to figure from 800-year-old saga,0.0,0,0,0,0,0,0,0,0,0,0.0
Lamine Yamal makes history as Barcelona hammers Real Madrid in El Clásico,0.4,0,0,0,0,0,0,0,0,0,0.2
Why Olivia Munn chose to show her mastectomy scars in new Skims campaign,0.2727272727272727,0,0,0,0,0,0,0,0,0,0.13636363636363635
"124 killed as Sudanese paramilitary group attacks village, doctors and activists say",1.9,0,0,0,0,0,0,0,1,0,0.2
Bus crash in central Mexico kills 19 people,0.0,0,0,0,0,0,0,0,0,0,0.0
Commonwealth leaders say ‘time has come’ for discussion on UK slavery reparations,0.0,0,0,0,0,0,0,0,0,0,0.0
Ex-swimsuit model describes alleged encounter with Trump and Jeffrey Epstein,0.2,0,0,0,0,0,0,0,0,0,0.1
"Big Tech CEOs are calling up Trump, seeking to rekindle their relationship with the former president ahead of Election Day",0.0,0,0,0,0,0,0,0,0,0,0.0
‘That fight to survive’: Dock tragedy is latest chapter in Gullah Geechee community’s long struggle,2.45,1,0,0,0,0,0,0,0,0,0.225
New abortion ad features mother who says she was forced to deliver a baby doctors knew would die,0.1636363636363637,0,0,0,0,0,0,0,0,0,0.08181818181818185
Why airlifting rhinos upside down is helping populations bounce back,0.15555555555555556,0,0,0,0,0,0,0,0,0,0.07777777777777778
Archaeologists uncover tiny house in Pompeii with intact elaborate frescoes,0.5,0,0,0,0,0,0,0,0,0,0.25
He served with the US Army in Iraq. Now he’s one of Asia’s top chefs and a Netflix ‘Culinary Class Wars’ judge,4.0,1,0,1,0,0,0,0,0,0,0.25
An engineer in Florida is searching for the owner of a ring discovered in hurricane wreckage,2.0,1,0,0,0,0,0,0,0,0,0.0
Lizzo’s Halloween costume draws inspiration from infamous ‘South Park’ episode,1.0,0,0,0,0,0,0,0,0,0,0.5
Groundbreaking telescope reveals first piece of new cosmic map,4.386363636363637,2,0,0,0,0,0,0,0,0,0.19318181818181818
Dodgers star Shohei Ohtani suffers apparent shoulder injury during Game 2 of the World Series,0.6333333333333333,0,0,0,0,0,0,0,0,0,0.31666666666666665
She connected on Instagram with a guy who lived in another country. Then they decided to meet up,0.0,0,0,0,0,0,0,0,0,0,0.0
Stunning fossil trapped in amber reveals previously unknown species that lived during the time of dinosaurs,0.13333333333333333,0,0,0,0,0,0,0,0,0,0.06666666666666667
Lost Silk Road cities mapped using remote sensing,0.2,0,0,0,0,0,0,0,0,0,0.1
A giant meteorite boiled the oceans 3.2 billion years ago. Scientists say it was a ‘fertilizer bomb’ for life,0.0,0,0,0,0,0,0,0,0,0,0.0
Fossils show what world’s largest arthropod looked like,0.0,0,0,0,0,0,0,0,0,0,0.0
Peer into the underwater caves where life thrives,0.0,0,0,0,0,0,0,0,0,0,0.0
Europe’s secret season for travel starts now,2.8,1,0,0,0,0,0,0,0,0,0.4
He served with the US Army in Iraq. Now he’s a 3-star Michelin chef,0.0,0,0,0,0,0,0,0,0,0,0.0
How the full English breakfast divides Britain,0.35,0,0,0,0,0,0,0,0,0,0.175
"Tired of California, he moved to Colombia: ‘I feel safer here’",0.8,0,0,0,0,0,0,0,0,0,0.4
The magical white stone wonderland with effervescent bathing pools,2.5,1,0,0,0,0,0,0,0,0,0.25
What the rising popularity of Yemeni coffee shops says about third places,0.0,0,0,0,0,0,0,0,0,0,0.0
Jury awards Apple $250 in design patent lawsuit against Masimo,2.0,1,0,0,0,0,0,0,0,0,0.0
"Why Nike, Starbucks and Boeing have lost their magic",1.0,0,0,0,0,0,0,0,0,0,0.5
Amazon Prime wants to help you save on gas,1.9,0,0,0,0,0,0,1,0,0,0.2
US businesses are suffering from election uncertainty — and it could be hurting the economy,0.0,0,0,0,0,0,0,0,0,0,0.0
Keurig Dr Pepper will buy energy drink maker Ghost for more than $1 billion,1.0,0,0,0,0,0,0,0,0,0,0.5
"These are 2024’s top trending Halloween costumes, according to Google",2.5,0,0,1,0,0,0,0,0,0,0.5
Zendaya pays tribute to Cher in shimmering vintage gown,0.0,0,0,0,0,0,0,0,0,0,0.0
"Painting by AI robot Ai-Da could fetch more than $120,000 at auction",1.0,0,0,0,0,0,0,0,0,0,0.5
Striking photos document environmental decay on world’s largest lake,1.0,0,0,0,0,0,0,0,0,0,0.5
"The painter whose erotic, glamorous portraits made her a belated art icon",1.4,0,0,0,0,0,0,0,0,0,0.7
"Super-thin skyscraper, just one apartment wide, planned for Dubai",0.2,0,0,0,0,0,0,0,0,0,0.1
"Meet Rojé Stona, an Olympic track and field champion with dreams of playing in the NFL",0.0,0,0,0,0,0,0,0,0,0,0.0
Can New York Yankees recover from last-gasp World Series Game 1 loss against Los Angeles Dodgers in Game 2?,1.4424242424242424,0,0,0,1,0,0,0,0,0,0.22121212121212122
Inter Miami beats Atlanta United in Lionel Messi’s MLS playoff debut,0.0,0,0,0,0,0,0,0,0,0,0.0
Los Angeles Dodgers’ Freddie Freeman launches himself into history with dramatic grand slam to win Game 1 of the World Series,0.23333333333333334,0,0,0,0,0,0,0,0,0,0.11666666666666667
Miami Dolphins quarterback Tua Tagovailoa cleared to return and will play Sunday against Arizona Cardinals,0.0,0,0,0,0,0,0,0,0,0,0.0
USF men’s head basketball coach Amir Abdur-Rahim dead at 43,0.4,0,0,0,0,0,0,0,0,0,0.2
"In staging a rally at Madison Square Garden, Trump is betting on his own showmanship and celebrity",1.2,0,0,0,0,0,0,0,0,0,0.6
Trump says he’s open to eliminating income taxes as he pushes sweeping tariff proposals on podcast with Joe Rogan,0.0,0,0,0,0,0,0,0,0,0,0.0
Chinese hackers targeted Trump and Vance’s phone data,0.0,0,0,0,0,0,0,0,0,0,0.0
US intelligence assesses Russian operatives behind fake video showing Pennsylvania ballots being destroyed,0.6,0,0,0,0,0,0,0,0,0,0.3
"NY Republican in critical House race spent huge sums of campaign cash on steakhouses, booze, Ubers and a foreign hostel",2.0875,1,0,0,0,0,0,0,0,0,0.04374999999999998
More straight couples are calling each other partner. Here’s why,0.3833333333333333,0,0,0,0,0,0,0,0,0,0.19166666666666665
"How long can you stand like a flamingo? The answer may reflect your age, new study says",4.086363636363636,0,0,0,1,0,0,2,0,0,0.043181818181818175
What experts say about taking psilocybin as an alternative treatment for depression,0.0,0,0,0,0,0,0,0,0,0,0.0
5 ways to support your friends with cancer,4.5,0,0,1,0,0,0,1,1,0,0.0
Does your teen consume protein supplements? Here’s what experts say,2.5,0,0,0,1,0,0,1,0,0,0.0
X changed its terms of service to let its AI train on everyone’s posts. Now users are up in arms,2.0,1,0,0,0,0,0,0,0,0,0.0
Elon Musk says he’ll fix the government under Trump. His track record paints a different picture,0.0,0,0,0,0,0,0,0,0,0,0.0
Meta fires employees for spending food allowances on personal items like acne pads and wine glasses,0.0,0,0,0,0,0,0,0,0,0,0.0
Swiping right ahead of the election: Popular dating apps have new features to show off political views,0.511038961038961,0,0,0,0,0,0,0,0,0,0.2555194805194805
Mind-bending mirrors have appeared in the desert,0.0,0,0,0,0,0,0,0,0,0,0.0
Lions prowl South Africa’s ‘wildest golf course’,0.0,0,0,0,0,0,0,0,0,0,0.0
Inside Qatar’s ‘city of the future’,0.0,0,0,0,0,0,0,0,0,0,0.0
These colorful artworks are made from folded paper,0.6,0,0,0,0,0,0,0,0,0,0.3
Inside Michael Jordan’s slice of paradise,0.0,0,0,0,0,0,0,0,0,0,0.0
Wildlife photographer’s award-winning images,2.0,1,0,0,0,0,0,0,0,0,0.0
"The rape claims that tie the Menendez case to Menudo: ‘There might be other victims,’ doc producer says",0.25,0,0,0,0,0,0,0,0,0,0.125
"Military investigation into incident during Trump’s controversial Arlington Cemetery still ongoing, Army report says",2.45,1,0,0,0,0,0,0,0,0,0.22500000000000003
"Two $140,000 tickets for 12-minute space trip sell immediately",0.0,0,0,0,0,0,0,0,0,0,0.0
Kate Bush is ‘very keen’ to make a new album,0.33636363636363636,0,0,0,0,0,0,0,0,0,0.16818181818181818
"Hillary Clinton says Trump is ‘more unhinged, more unstable’ than in 2016",1.0,0,0,0,0,0,0,0,0,0,0.5
Former CEO of WWE sued for allegedly enabling sexual abuse,0.26666666666666666,0,0,0,0,0,0,0,0,0,0.13333333333333333
Miami Dolphins quarterback cleared to return and will play against Arizona Cardinals,0.0,0,0,0,0,0,0,0,0,0,0.0
"Tom Holland and Zendaya have read a ‘Spider-Man 4’ script, and the movie comes out in 2026",0.0,0,0,0,0,0,0,0,0,0,0.0
Nicole Scherzinger ‘will forever cherish and treasure the time’ with Liam Payne,2.0,1,0,0,0,0,0,0,0,0,0.0
World’s best bars for 2024,4.0,1,0,0,0,0,0,0,0,0,1.0
