headline,word_count,char_count,avg_word_length,complex_words,nouns,verbs,adjectives,prepositions,noun_verb_ratio
"Ex-Vatican ambassador, Pope Francis critic calls Harris 'infernal monster'",11,74,6.7272727272727275,5,6,0,3,0,6.0
My father was Sen. Joe Lieberman. His last words are what we need to hear right now,18,83,4.611111111111111,1,5,4,1,0,1.25
Dems need to ramp up early voting efforts to match GOP momentum in North Carolina: analyst,17,90,5.294117647058823,4,8,3,1,1,2.6666666666666665
"Presidential election is making most Americans anxious, surveys say: Here are 6 tips to calm down",18,97,5.388888888888889,5,4,5,3,0,0.8
New anti-theft features rolling out on Android 15,8,49,6.125,4,3,1,1,1,3.0
Why you should be using a VPN to safeguard your stock trading activities,13,72,5.538461538461538,3,4,3,0,0,1.3333333333333333
VIDEO: Texas machete-wielding man's intrusion into home thwarted by gun owner,13,77,5.923076923076923,3,8,1,0,2,8.0
Facial recognition glasses turn everyday life into creepy privacy nightmare,10,75,7.5,5,5,1,3,1,5.0
"Truck ramming attack near Israeli army base leaves 1 dead, dozens injured; suspect killed",16,89,5.5625,4,6,5,1,1,1.2
"Fraudsters wheel away huge haul of artisan cheddar worth an eye-popping $400,000",13,80,6.153846153846154,5,3,1,3,2,3.0
"Israel’s 'Days of Repentance' strikes against Iran will continue if terror regime responds, IDF warns",18,101,5.611111111111111,5,10,3,0,3,3.3333333333333335
UN secretary-general won’t condemn official accused of antisemitism; US said to grant visa for visit,18,100,5.555555555555555,5,7,4,2,3,1.75
Doug Emhoff 'reshaped the perception of masculinity'? Let's consult the Torah,14,77,5.5,4,7,1,0,1,7.0
My father was Sen. Joe Lieberman. His last words are what we need to hear right now,18,83,4.611111111111111,1,5,4,1,0,1.25
JONATHAN TURLEY: Why I'm congratulating the Washington Post,10,59,5.9,3,4,2,0,0,2.0
Trump isn’t the first president menaced by Derangement Syndrome,11,63,5.7272727272727275,4,6,2,1,1,3.0
"Presidential election is making most Americans anxious, surveys say: Here are 6 tips to calm down",18,97,5.388888888888889,5,4,5,3,0,0.8
‘Should I go to the ER or urgent care?’: Ask a doctor,16,53,3.3125,0,5,2,1,0,2.5
"Dementia risk could be higher for older adults who experience this type of injury, study finds",17,94,5.529411764705882,2,7,2,2,2,3.5
"After a breast cancer diagnosis, here are 10 important things you should do, experts say",17,88,5.176470588235294,3,5,3,1,1,1.6666666666666667
Child-abusing mommy blogger Ruby Franke's daughter warns parents about posting kids' pictures online,15,100,6.666666666666667,6,8,3,1,1,2.6666666666666665
Perez Hilton predicts Menendez brothers could see public ‘turn’ on them after prison release,16,92,5.75,4,9,2,1,2,4.5
"Fraudsters wheel away huge haul of artisan cheddar worth an eye-popping $400,000",13,80,6.153846153846154,5,3,1,3,2,3.0
Search underway for man accused of killing his pregnant wife while on parole for murder,15,87,5.8,4,6,2,1,5,3.0
"'I'm an author and I'm grateful for democracy, including our First Amendment rights'",18,84,4.666666666666667,4,5,3,1,1,1.6666666666666667
Visiting the Constitution can remind us that America is all about 'We the People',15,81,5.4,3,3,3,0,2,1.0
"Health, happiness and helping others are vital parts of free and responsible society, Founding Fathers taught",18,109,6.055555555555555,6,6,4,3,1,1.5
"Meet the American who defined a new national identity, Noah Webster, New England patriot armed with the pen",20,107,5.35,7,9,2,2,1,4.5
"On this day in history, October 27, 1858, Teddy Roosevelt, American titan, is born in New York City",23,99,4.304347826086956,4,10,2,0,3,5.0
Ex-Trump officials tell Americans to 'heed General Kelly's warning' Trump's a fascist,15,85,5.666666666666667,6,5,3,2,0,1.6666666666666667
Pentagon denies false claim that Biden-Harris admin authorized troops to use force against Americans,14,100,7.142857142857143,5,7,3,1,2,2.3333333333333335
"On this day in history, October 25, 1944, first kamikaze suicide pilots attack US Navy in World War II",22,102,4.636363636363637,4,9,2,1,3,4.5
Luke Combs and Eric Church raise over $24.5 million for hurricane victims at star-studded Concert for Carolina,18,110,6.111111111111111,6,9,0,1,4,9.0
Prince William publicly mentions Prince Harry for first time in recent memory while discussing childhood,15,104,6.933333333333334,5,8,1,2,3,8.0
"Zach Bryan backlash over breakup is latest controversy after arrest, drunken Taylor Swift comment",15,97,6.466666666666667,5,9,1,2,2,9.0
Beatle Paul McCartney helped John Lennon win back Yoko Ono after star cheated with another woman: pal,18,101,5.611111111111111,3,10,3,0,2,3.3333333333333335
Texas A&M's Mike Elko has fiery message after major win: 'It’s not a politician running this program',24,101,4.208333333333333,4,10,3,1,1,3.3333333333333335
Spurs' Gregg Popovich rails against Trump in lengthy rant: 'Danger follows the delusion',16,88,5.5,6,7,2,1,2,3.5
"Patrick Mahomes is already ‘No. 2 in the GOAT conversation,’ ex-NFL star says",17,77,4.529411764705882,4,6,2,3,1,3.0
"Michigan, Michigan State players brawl after game: 'Lil’ bro stay doing lil’ bro things'",19,88,4.631578947368421,3,11,2,1,1,5.5
"Hurricane Helene: More than 90 reported dead in North Carolina, 10 unaccounted for",15,82,5.466666666666667,4,4,2,2,3,2.0
Child-abusing mommy blogger Ruby Franke's daughter warns parents about posting kids' pictures online,15,100,6.666666666666667,6,8,3,1,1,2.6666666666666665
Perez Hilton predicts Menendez brothers could see public ‘turn’ on them after prison release,16,92,5.75,4,9,2,1,2,4.5
Florida deputies arrest dozens of illegal immigrants allegedly caught looting from Hurricane Milton victims,14,107,7.642857142857143,8,7,3,1,2,2.3333333333333335
"'Stay Married Chicken,' indulgent and delicious, has 'definitely worked,' says family-minded creator",17,100,5.882352941176471,7,4,3,2,0,1.3333333333333333
Restaurant visitors instructed on strict behavior by 21 signs: 'Rules are rules',14,80,5.714285714285714,4,5,2,2,2,2.5
Matthew McConaughey always planned to ditch Hollywood for Texas,9,63,7.0,4,4,2,0,1,2.0
DC gears up for presidential inauguration as tourism industry braces for surge in visitors,14,90,6.428571428571429,5,7,1,1,4,7.0
Why some Americans will receive an extra Social Security check in November,12,74,6.166666666666667,4,5,1,1,1,5.0
Mysterious $7B estate tax payment spurs questions about source of funds,12,71,5.916666666666667,3,7,0,1,2,7.0
Harvard fundraising slumps after antisemitism controversy,6,57,9.5,4,4,1,0,1,4.0
"Biden administration forgives $4.5 million in student debt for 60,000 borrowers",12,79,6.583333333333333,5,4,1,1,2,4.0
When a Facebook friend request turns into a hacker’s trap,12,57,4.75,2,6,2,0,1,3.0
New anti-theft features rolling out on Android 15,8,49,6.125,4,3,1,1,1,3.0
Fox News AI Newsletter: Bureaucrats ordered to use AI,10,53,5.3,3,6,2,0,0,3.0
Why you should be using a VPN to safeguard your stock trading activities,13,72,5.538461538461538,3,4,3,0,0,1.3333333333333333
'Conclave' director says controversial scenes in movie about papal elections 'not a takedown of the church',18,107,5.944444444444445,5,6,2,2,3,3.0
Helen Mirren says Kurt Cobain's death is 'so sad' because he 'never saw GPS',17,76,4.470588235294118,1,7,4,1,1,1.75
"Nicole Kidman, Cher, Kim Kardashian turn heads in figure-hugging gowns: PHOTOS",14,78,5.571428571428571,2,9,0,1,1,9.0
Liam Neeson confesses he’s ‘madly in love’ with co-star Pamela Anderson,15,71,4.733333333333333,3,7,2,2,2,3.5
"Costco issues recall notices for frozen waffles, freeze dried meat over listeria concerns",14,89,6.357142857142857,4,8,2,1,2,4.0
Palatial California billionaire-owned estate hits market for whopping $108M,10,75,7.5,4,4,1,2,1,4.0
Bill Murray's former New York home in swanky star-studded enclave hits the market for $3.69 million,18,99,5.5,3,7,1,3,2,7.0
Union autoworker predicts blue voting bloc will vote for Trump in 'big numbers': 'He's speaking our language',21,109,5.190476190476191,5,8,4,1,2,2.0
"Faith leader wants Christians to 'love their Bibles': It is 'true and trustworthy,' he says",19,91,4.7894736842105265,2,4,4,2,0,1.0
My father was Sen. Joe Lieberman. His last words are what we need to hear right now,18,83,4.611111111111111,1,5,4,1,0,1.25
Bay Area city pays $1.5 million after years-long fight to take down cross,14,73,5.214285714285714,2,5,2,1,1,2.5
Fox News ‘Antisemitism Exposed’ Newsletter: Israel-US relations crippled by damaging leak,14,89,6.357142857142857,7,7,3,2,1,2.3333333333333335
3 ways Kamala Harris promotes chaos with her energy message,10,59,5.9,2,6,1,0,1,6.0
"Chicago eliminates migrant-only shelters, 'landing zone'",8,56,7.0,5,3,2,1,0,1.5
"What Michael Jordan is like as a NASCAR boss, according to his star driver",15,74,4.933333333333334,2,6,2,0,2,3.0
You won't believe how far Volvo's new electric semitruck goes on a single charge,16,80,5.0,3,3,2,3,1,1.5
The four 'dreaded' letters on airline boarding passes that travelers say they never want to see,17,95,5.588235294117647,5,5,4,0,2,1.25
"On this day in history, October 27, 1858, Teddy Roosevelt, American titan, is born in New York City",23,99,4.304347826086956,4,10,2,0,3,5.0
What is landlord insurance? How coverage could play into a squatter situation,13,77,5.923076923076923,5,5,2,1,1,2.5
American Airlines cracks down against 'gate lice' as airport passengers skip lines amid boarding process,16,104,6.5,7,7,3,1,3,2.3333333333333335
Luke Combs and Eric Church raise over $24.5 million for hurricane victims at star-studded Concert for Carolina,18,110,6.111111111111111,6,9,0,1,4,9.0
"Zach Bryan backlash over breakup is latest controversy after arrest, drunken Taylor Swift comment",15,97,6.466666666666667,5,9,1,2,2,9.0
Beatle Paul McCartney helped John Lennon win back Yoko Ono after star cheated with another woman: pal,18,101,5.611111111111111,3,10,3,0,2,3.3333333333333335
Lizzo wears Ozempic-themed Halloween costume inspired by 'South Park' parody after slamming allegations,14,103,7.357142857142857,6,8,3,0,2,2.6666666666666665
"'Stay Married Chicken,' indulgent and delicious, has 'definitely worked,' says family-minded creator",17,100,5.882352941176471,7,4,3,2,0,1.3333333333333333
5 peculiar pizza toppings that are common around the world,10,58,5.8,2,3,1,2,1,3.0
Jimmy John's announces 'Picklewich' — here's how people responded,12,65,5.416666666666667,3,5,2,0,0,2.5
Ghost in a restaurant? Man says coffee shop haunted by Civil War soldier,14,72,5.142857142857143,3,8,2,0,2,4.0
Another tropical storm could develop in Caribbean Sea after Halloween as hurricane season nears final month,16,107,6.6875,6,7,2,2,3,3.5
Northeast wildfire threat shifts to New England on Sunday,9,57,6.333333333333333,3,7,0,0,1,7.0
Beloved 'Rainbow Bridge' honoring lost pets in North Carolina washed away by Helene,14,83,5.928571428571429,4,7,2,0,2,3.5
Volcanic ash from Mexican volcano spotted over Florida,8,54,6.75,5,3,1,2,2,3.0
"One Nation with Brian Kilmeade - Saturday, October 26",10,53,5.3,3,5,0,0,1,5.0
"Life, Liberty & Levin - Saturday, October 26",10,44,4.4,3,5,0,0,0,5.0
"The Big Weekend Show - Saturday, October 26",9,43,4.777777777777778,3,5,0,0,0,5.0
"The Journal Editorial Report - Saturday, October 26",9,51,5.666666666666667,4,5,0,0,0,5.0
Search underway for man accused of killing his pregnant wife while on parole for murder,15,87,5.8,4,6,2,1,5,3.0
At least 126 dead and missing in massive flooding and landslides in Philippines,13,79,6.076923076923077,5,3,1,3,3,3.0
"A man who abused up to 3,500 girls online has been sentenced for crimes including manslaughter",16,94,5.875,3,5,5,0,1,1.0
More than 40 dogs killed in fire at rescue group’s kennels in New York,16,70,4.375,1,9,1,1,4,9.0
Michelle Obama accuses critics of 'picking apart' Harris' interview answers to distract from Trump's faults,18,107,5.944444444444445,7,9,3,0,2,3.0
Trump-Vance ticket has done combined 96 interviews since August compared to 57 for Harris-Walz,14,94,6.714285714285714,5,5,4,0,2,1.25
98 days: Kamala Harris has yet to do formal press conference since emerging as Democratic nominee,17,97,5.705882352941177,4,6,3,2,2,2.0
'Conclave' director says controversial scenes in movie about papal elections 'not a takedown of the church',18,107,5.944444444444445,5,6,2,2,3,3.0
UN secretary-general won’t condemn official accused of antisemitism; US said to grant visa for visit,18,100,5.555555555555555,5,7,4,2,3,1.75
Israeli woman bravely describes horror as Hamas hostage: 'They were taking pleasure in hurting me',17,98,5.764705882352941,6,7,3,1,2,2.3333333333333335
"Anti-Israel protesters take over University of Minnesota admin building, 11 arrested",12,84,7.0,6,5,2,1,2,2.5
Jewish-American group urges US citizens in Israel to vote as absentee ballots can impact swing states,16,101,6.3125,4,6,4,2,2,1.5
Florida deputies arrest dozens of illegal immigrants allegedly caught looting from Hurricane Milton victims,14,107,7.642857142857143,8,7,3,1,2,2.3333333333333335
Harris' polling in NYC is lowest in decades for Democratic nominee: NYT poll,15,76,5.066666666666666,4,7,1,2,3,7.0
VICTOR DAVIS HANSON: 10 alarming signs we are in the middle of a cultural revolution,16,84,5.25,3,6,2,1,2,3.0
Texas Gov. Greg Abbott challenges Kamala Harris to declare Tren de Aragua a terrorist organization,16,98,6.125,4,9,2,1,0,4.5
"Lisa Bevere: Fighting for Women’s Divine Right, Calling Out the Evil of Gender Ideology",18,87,4.833333333333333,3,9,3,0,2,3.0
From Washington: The Battle For Control Of The House,10,52,5.2,2,4,0,0,3,4.0
Fox Sports Update – Yankees Kept From Bombing,8,45,5.625,2,6,1,0,1,6.0
Extra: Is The American Dream Dead? Mr. Wonderful Weighs In.,14,59,4.214285714285714,2,5,1,2,1,5.0
